StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,,Q7,Q8,Q8_5_TEXT,Q9,Q10,Q10_5_TEXT,Q11,Q14,Q14_6_TEXT,Q15,Q12,Q13,Q16,Q17,Q17_9_TEXT,Q18
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which school are you from?,Which year are you currently in?,How career oriented are you?,Are you interested in the arts?,Why or why not?,Interested category,"Prior to SMU, were you in any arts CCA?","If your answer to the above question is yes, in which category does it fall under? - Q8","If your answer to the above question is yes, in which category does it fall under? - Others - Text",Were you ever actively involved in an arts CCA in SMU?,"If your answer to the above question is yes, in which category does it fall under? - Q10","If your answer to the above question is yes, in which category does it fall under? - Others - Text","Do you participate in any external art activities? (e.g. open dance classes, art jamming workshops, etc.)",Which of these categories of art interest you? - Selected Choice,Which of these categories of art interest you? - Others - Text,"How much do you support the local arts scene? (e.g. attending performing arts concerts, visiting art galleries, keeping up with artists, etc.)",How often do you visit SMU Connexion on a weekly basis?,Rate the arts scene in SMU.,Do you think SMU is currently doing enough for the local arts scene?,"When you think of a location in SMU that embodies/celebrates art, which location do you have in mind? - Selected Choice","When you think of a location in SMU that embodies/celebrates art, which location do you have in mind? - Others - Text",Will you be interested in a collaborative space for the arts?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}",,"{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_5_TEXT""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_9_TEXT""}","{""ImportId"":""QID18""}"
3/3/2020 18:49,3/3/2020 19:20,IP Address,111.65.68.250,100,1836,TRUE,3/3/2020 19:20,R_WiW2hkyUlOvXA7n,,,,,1.292892456,103.8547058,anonymous,EN,School of Information Systems,Year 3,A lot,Might or might not,,,No,,,No,,,None at all,Visual,,A great deal,Never,Slightly good,Probably not,"T-Junction,SMUSA Hub",,Definitely yes
3/3/2020 19:40,3/3/2020 19:42,IP Address,137.132.217.15,100,113,TRUE,3/3/2020 19:42,R_1daHc4yVIxzAz6S,,,,,1.283493042,103.7849121,anonymous,EN,School of Information Systems,Year 4,I prioritise my career over everything,Probably yes,It is very therapeutic and an alternative outlet for me to express myself,Form of relaxation/self-expression,No,Others,,No,,,A moderate amount,Visual,,A lot,2-3 times a week,Slightly bad,Probably not,"T-Junction,Campus Green,Drama & Music Lab,Arts & Culture Club",,Definitely yes
3/3/2020 19:57,3/3/2020 19:58,IP Address,183.90.36.135,100,59,TRUE,3/3/2020 19:58,R_1gzPpQrzfTkwsOf,,,,,1.36390686,103.8370056,anonymous,EN,School of Information Systems,Year 2,A little,Definitely not,No interest no experience ,No interest or no exposure ,No,Others,None,No,,,None at all,Arts don't interest me at all,,None at all,2-3 times a week,Slightly good,Probably yes,T-Junction,,Probably yes
3/3/2020 19:57,3/3/2020 19:58,IP Address,202.161.55.23,100,65,TRUE,3/3/2020 19:58,R_2xK0hmLColUUkfp,,,,,1.36390686,103.8370056,anonymous,EN,Lee Kong Chian School of Business,Year 2,A lot,Probably yes,Arts is fun ,Interesting/Fun,Yes,Visual,,Yes,Visual,,None at all,Visual,,A little,2-3 times a week,Neither good nor bad,Probably yes,T-Junction,,Probably yes
3/3/2020 19:56,3/3/2020 19:59,IP Address,137.132.217.15,100,194,TRUE,3/3/2020 19:59,R_1gjfU9Zo6a3j38B,,,,,1.366699219,103.7999878,anonymous,EN,Lee Kong Chian School of Business,Year 2,A lot,Probably yes,ghfhgg,,No,Sculpture,,No,Music,,A moderate amount,Literature,,A moderate amount,2-3 times a week,Moderately bad,Probably yes,Drama & Music Lab,,Probably yes
3/3/2020 20:01,3/3/2020 20:02,IP Address,202.161.55.21,100,113,TRUE,3/3/2020 20:02,R_d1haI8hdLXna7m1,,,,,1.36390686,103.8370056,anonymous,EN,School of Accountancy,Year 2,A moderate amount,Probably yes,have been interested in the music and performing arts scene since young,Since young/CCA,Yes,Music,,Yes,Music,,A little,Music,,A moderate amount,Once a week,Neither good nor bad,Probably not,T-Junction,,Definitely yes
3/3/2020 20:01,3/3/2020 20:03,IP Address,119.56.101.199,100,114,TRUE,3/3/2020 20:03,R_2CppBcN2XuuqDDK,,,,,1.292892456,103.8547058,anonymous,EN,School of Information Systems,Year 1,A moderate amount,Might or might not,Please specify art,,No,,,No,,,None at all,Sculpture,,None at all,Never,Neither good nor bad,Probably not,Arts & Culture Club,,Probably not
3/3/2020 20:00,3/3/2020 20:04,IP Address,202.161.55.21,100,224,TRUE,3/3/2020 20:04,R_bdAunPrHciKCKnT,,,,,1.292098999,103.8482056,anonymous,EN,School of Accountancy,Year 1,A moderate amount,Probably yes,i iike the arts because they are more expressive and fluid compared to other things in my life. ,Form of relaxation/self-expression,No,Performance,,No,,,A little,Visual,,A moderate amount,2-3 times a week,Moderately good,Probably yes,"T-Junction,Campus Green",,Might or might not
3/3/2020 20:06,3/3/2020 20:09,IP Address,202.161.35.27,100,168,TRUE,3/3/2020 20:09,R_z0uGEdzYVec3TTr,,,,,1.355194092,103.8859863,anonymous,EN,School of Information Systems,Year 3,A moderate amount,Probably yes,arts have a calming effect on me,Form of relaxation/self-expression,Yes,Performance,,Yes,Performing,,A moderate amount,Performing,,A lot,2-3 times a week,Neither good nor bad,Might or might not,T-Junction,,Probably yes
3/3/2020 20:08,3/3/2020 20:10,IP Address,202.161.35.27,100,115,TRUE,3/3/2020 20:10,R_DSQYRnIRpDlQ4MN,,,,,1.355194092,103.8859863,anonymous,EN,School of Information Systems,Year 2,A moderate amount,Might or might not,my passion lies elsewhere!,No interest or no exposure ,No,,,No,,,None at all,Arts don't interest me at all,,A little,Once a week,Moderately good,Probably not,"T-Junction,Campus Green",,Probably not
3/3/2020 20:09,3/3/2020 20:11,IP Address,101.78.77.17,100,122,TRUE,3/3/2020 20:11,R_3Phjx42kOGQZHcU,,,,,1.43649292,103.780304,anonymous,EN,School of Information Systems,Year 2,A moderate amount,Might or might not,Not good in it,No interest or no exposure ,No,,,No,,,A little,Music,,A moderate amount,2-3 times a week,Moderately good,Probably yes,Campus Green,,Probably yes
3/3/2020 20:15,3/3/2020 20:16,IP Address,111.65.46.158,100,76,TRUE,3/3/2020 20:16,R_2QMY4dHTCuSVte7,,,,,1.359603882,103.8637085,anonymous,EN,School of Economics,Year 2,A moderate amount,Probably not,No reason i just dont,No interest or no exposure ,No,,,No,,,None at all,Music,,A moderate amount,2-3 times a week,Neither good nor bad,Probably not,"T-Junction,Drama & Music Lab,Arts & Culture Club",,Probably yes
3/3/2020 20:13,3/3/2020 20:17,IP Address,202.161.35.27,100,205,TRUE,3/3/2020 20:17,R_29moGLtGm5tCv9y,,,,,1.355194092,103.8859863,anonymous,EN,School of Information Systems,Year 3,A little,Probably yes,Used to be heavily involved in the arts type CCA,Since young/CCA,Yes,Music,,No,Others,NA,A little,Music,,A moderate amount,Once a week,Neither good nor bad,Definitely yes,T-Junction,,Might or might not
3/3/2020 20:31,3/3/2020 20:33,IP Address,202.161.35.27,100,113,TRUE,3/3/2020 20:33,R_2rPHZMY6vu5FK67,,,,,1.36390686,103.8370056,anonymous,EN,School of Information Systems,Year 1,A moderate amount,Probably not,Not praised,No interest or no exposure ,Yes,Performance,,No,,,None at all,Others,Painting,A lot,Once a week,Slightly good,Might or might not,Campus Green,,Probably yes
3/3/2020 20:48,3/3/2020 20:50,IP Address,183.90.37.253,100,133,TRUE,3/3/2020 20:50,R_W7InwRbcEkHvVuh,,,,,1.36390686,103.8370056,anonymous,EN,Lee Kong Chian School of Business,Year 2,A moderate amount,Might or might not,Interesting but cant really appreciate to the fullest also,Interesting/Fun,No,,,No,,,None at all,Performing,,None at all,Never,Slightly bad,Probably yes,Campus Green,,Probably yes
3/3/2020 20:53,3/3/2020 20:54,IP Address,119.56.107.14,100,71,TRUE,3/3/2020 20:54,R_6QLmBF7kkq8GE7L,,,,,1.359603882,103.8637085,anonymous,EN,School of Social Sciences,Year 3,A moderate amount,Might or might not,Not good in it ,No talent,No,,,No,,,None at all,Music,,A little,2-3 times a week,Moderately good,Probably yes,T-Junction,,Might or might not
3/3/2020 20:38,3/3/2020 20:56,IP Address,202.161.35.27,100,1080,TRUE,3/3/2020 20:56,R_2vcAfq1OJbycTwN,,,,,1.36390686,103.8370056,anonymous,EN,School of Information Systems,Year 3,A lot,Probably not,Does not really interest me ,No interest or no exposure ,No,,,No,,,None at all,Visual,,A moderate amount,Once a week,Slightly good,Probably not,"T-Junction,SMUSA Hub,Campus Green",,Definitely yes
3/3/2020 20:55,3/3/2020 20:57,IP Address,202.161.35.29,100,106,TRUE,3/3/2020 20:57,R_3freup5aG2mOv6a,,,,,1.355194092,103.8859863,anonymous,EN,School of Social Sciences,Year 3,A lot,Definitely yes,Actively involved in the arts and came from an arts background,Since young/CCA,Yes,Visual,,No,,,A moderate amount,Visual,,A lot,Never,Neither good nor bad,Probably not,"T-Junction,Campus Green",,Probably yes
3/3/2020 20:59,3/3/2020 21:01,IP Address,202.161.55.21,100,133,TRUE,3/3/2020 21:01,R_pgVBMjzNQ3zA4G5,,,,,1.292098999,103.8482056,anonymous,EN,School of Accountancy,Year 3,A moderate amount,Probably yes,A way of expressing oneself,Form of relaxation/self-expression,No,Others,,Yes,Music,,A great deal,Music,,A little,Never,Neither good nor bad,Probably not,T-Junction,,Probably not
3/3/2020 21:06,3/3/2020 21:08,IP Address,202.161.35.28,100,113,TRUE,3/3/2020 21:08,R_3O1tkN7aGtKsGKI,,,,,1.355194092,103.8859863,anonymous,EN,School of Economics,Year 3,A moderate amount,Definitely not,Not my interest or strength ,No interest or no exposure ,No,,,No,,,None at all,Music,,A moderate amount,2-3 times a week,Moderately good,Probably yes,T-Junction,,Probably not
3/3/2020 21:13,3/3/2020 21:14,IP Address,218.212.31.239,100,89,TRUE,3/3/2020 21:14,R_eyOLK35QEa6dSAF,,,,,1.348007202,103.703186,anonymous,EN,School of Social Sciences,Year 1,A little,Definitely not,I am more of a sports person ,No interest or no exposure ,Yes,Music,,No,,,None at all,Music,,A moderate amount,Never,Neither good nor bad,Might or might not,"T-Junction,Campus Green,SOE Fishtanks",,Probably not
3/3/2020 21:10,3/3/2020 21:15,IP Address,202.161.35.28,100,306,TRUE,3/3/2020 21:15,R_1Le30UTRYwYFKBy,,,,,1.355194092,103.8859863,anonymous,EN,School of Economics,Year 3,A lot,Probably yes,Art is interesting ,Interesting/Fun,Yes,Performance,,No,,,None at all,Performing,,A moderate amount,Never,Slightly good,Probably not,"T-Junction,Campus Green,Arts & Culture Club",,Probably yes
3/3/2020 21:13,3/3/2020 21:16,IP Address,202.161.35.29,100,170,TRUE,3/3/2020 21:16,R_umJBZYWBDFwS1Jn,,,,,1.36390686,103.8370056,anonymous,EN,School of Social Sciences,Year 2,A moderate amount,Probably yes,"I love to sing, and I used to draw a lot when I was younger. ",Interesting/Fun,Yes,Music,,Yes,Music,,None at all,Music,,A moderate amount,Never,Slightly good,Probably not,"T-Junction,Campus Green,Drama & Music Lab",,Probably yes
3/3/2020 21:17,3/3/2020 21:23,IP Address,202.161.55.23,100,319,TRUE,3/3/2020 21:23,R_1jdCFeGawQqP8BG,,,,,1.292098999,103.8482056,anonymous,EN,Lee Kong Chian School of Business,Year 2,A lot,Probably not,Never had the talent to appreciate any form of art.,No talent,No,,,No,,,None at all,Arts don't interest me at all,,A little,4-7 times a week,Moderately good,Probably not,SMUSA Hub,,Probably not
3/3/2020 21:24,3/3/2020 21:25,IP Address,202.161.55.21,100,62,TRUE,3/3/2020 21:25,R_WAtdSSCmkkqMP4d,,,,,1.305099487,103.8435059,anonymous,EN,School of Accountancy,Year 1,A moderate amount,Probably not,Do not really have any interest in it,No interest or no exposure ,Yes,Performance,,No,,,None at all,Music,,None at all,Once a week,Slightly good,Might or might not,"T-Junction,Arts & Culture Club",,Probably yes
3/3/2020 21:25,3/3/2020 21:32,IP Address,42.60.119.59,100,384,TRUE,3/3/2020 21:32,R_3JzaoHLZWCVedaX,,,,,1.36390686,103.8370056,anonymous,EN,School of Information Systems,Year 2,A moderate amount,Probably yes,,,Yes,Music,,No,,,None at all,Music,,A great deal,2-3 times a week,Moderately good,Probably not,"T-Junction,SMUSA Hub,Campus Green,Drama & Music Lab,Arts & Culture Club",,Probably yes
3/3/2020 21:56,3/3/2020 21:58,IP Address,202.161.55.23,100,114,TRUE,3/3/2020 21:58,R_2aJPFNAfIV5Dv65,,,,,1.292098999,103.8482056,anonymous,EN,Lee Kong Chian School of Business,Year 2,A moderate amount,Definitely not,No talent in arts,No talent,No,,,No,,,None at all,Music,,A little,Once a week,Neither good nor bad,Might or might not,"Connexion,Arts & Culture Club",,Probably not
3/3/2020 21:54,3/3/2020 22:00,IP Address,202.161.35.27,100,333,TRUE,3/3/2020 22:00,R_9sn2xBYLGt4uwSJ,,,,,1.355194092,103.8859863,anonymous,EN,School of Information Systems,Year 2,A lot,Definitely yes,I came from SOTA,Since young/CCA,Yes,Visual,,No,,,A little,Visual,,A lot,4-7 times a week,Moderately bad,Might or might not,T-Junction,,Definitely yes
3/3/2020 21:59,3/3/2020 22:01,IP Address,202.161.35.27,100,119,TRUE,3/3/2020 22:01,R_1hGsuqPv1Y0uWBu,,,,,1.36390686,103.8370056,anonymous,EN,School of Information Systems,Year 1,A moderate amount,Probably yes,something that interests me besides studies and cca ,Interesting/Fun,Yes,Performance,,No,,,None at all,Music,,A little,Once a week,Neither good nor bad,Might or might not,"T-Junction,SOE Fishtanks,Drama & Music Lab,Arts & Culture Club",,Might or might not
3/3/2020 21:59,3/3/2020 22:02,IP Address,202.161.35.28,100,139,TRUE,3/3/2020 22:02,R_3p8S7LOCcpI6qnA,,,,,1.36390686,103.8370056,anonymous,EN,School of Economics,Year 3,A little,Probably yes,"Fun, interesting, adds a little oomph into your life, refined, classy",Interesting/Fun,No,,,No,,,A little,Performing,,A lot,Never,Slightly bad,Probably not,Others,the gallery thing at SOE,Probably not
3/3/2020 22:01,3/3/2020 22:02,IP Address,202.161.55.23,100,73,TRUE,3/3/2020 22:02,R_3Rr9MbP9Gxn61Tw,,,,,1.292098999,103.8482056,anonymous,EN,Lee Kong Chian School of Business,Year 3,A moderate amount,Probably yes,Nice,Interesting/Fun,No,Visual,,No,,,None at all,Visual,,A lot,2-3 times a week,Slightly bad,Probably not,T-Junction,,Probably not
3/3/2020 22:02,3/3/2020 22:03,IP Address,202.161.35.28,100,55,TRUE,3/3/2020 22:03,R_798RaroXeeLtsQx,,,,,1.355194092,103.8859863,anonymous,EN,School of Economics,Year 2,A little,Probably not,,,Yes,Music,,No,,,A little,Music,,A little,Never,Extremely bad,Definitely yes,None,,Definitely not
3/3/2020 21:58,3/3/2020 22:08,IP Address,202.161.35.29,100,581,TRUE,3/3/2020 22:08,R_1IN7B8dgFuhWdHU,,,,,1.355194092,103.8859863,anonymous,EN,School of Social Sciences,Year 2,A moderate amount,Probably yes,its a good way to learn about different perspectives on life and good form of entertainment,Interesting/Fun,Yes,Music,,Yes,Music,,A little,Sculpture,,A lot,Once a week,Neither good nor bad,Might or might not,"T-Junction,Campus Green,Drama & Music Lab",,Probably yes
